"Package","Version","Source"
"AnnotationDbi","1.68.0","Bioconductor"
"BH","1.90.0-1","Repository"
"Biobase","2.66.0","Bioconductor"
"BiocGenerics","0.52.0","Bioconductor"
"BiocManager","1.30.27","Repository"
"BiocParallel","1.40.2","Bioconductor"
"BiocVersion","3.20.0","Bioconductor"
"Biostrings","2.74.1","Bioconductor"
"DBI","1.3.0","Repository"
"DOSE","4.0.1","Bioconductor"
"DelayedArray","0.32.0","Bioconductor"
"Deriv","4.2.0","Repository"
"Formula","1.2-5","Repository"
"GO.db","3.20.0","Bioconductor"
"GOSemSim","2.32.0","Bioconductor"
"GenomeInfoDb","1.42.3","Bioconductor"
"GenomeInfoDbData","1.2.13","Bioconductor"
"GenomicRanges","1.58.0","Bioconductor"
"IRanges","2.40.1","Bioconductor"
"KEGGREST","1.46.0","Bioconductor"
"MASS","7.3-61","Repository"
"Matrix","1.7-1","Repository"
"MatrixGenerics","1.18.1","Bioconductor"
"MatrixModels","0.5-4","Repository"
"NormalyzerDE","1.24.0","Bioconductor"
"R.methodsS3","1.8.2","Repository"
"R.oo","1.27.1","Repository"
"R.utils","2.13.0","Repository"
"R6","2.6.1","Repository"
"RColorBrewer","1.1-3","Repository"
"RSQLite","2.4.6","Repository"
"Rcpp","1.1.1","Repository"
"RcppArmadillo","15.2.3-1","Repository"
"RcppEigen","0.3.4.0.2","Repository"
"Rdpack","2.6.6","Repository"
"S4Arrays","1.6.0","Bioconductor"
"S4Vectors","0.44.0","Bioconductor"
"S7","0.2.1","Repository"
"SparseArray","1.6.2","Bioconductor"
"SparseM","1.84-2","Repository"
"SummarizedExperiment","1.36.0","Bioconductor"
"UCSC.utils","1.2.0","Bioconductor"
"XVector","0.46.0","Bioconductor"
"abind","1.4-8","Repository"
"affy","1.84.0","Bioconductor"
"affyio","1.76.0","Bioconductor"
"ape","5.8-1","Repository"
"aplot","0.2.9","Repository"
"askpass","1.2.1","Repository"
"backports","1.5.0","Repository"
"base64enc","0.1-6","Repository"
"bit","4.6.0","Repository"
"bit64","4.6.0-1","Repository"
"blob","1.3.0","Repository"
"bookdown","0.46","Repository"
"boot","1.3-31","Repository"
"broom","1.0.12","Repository"
"bslib","0.10.0","Repository"
"cachem","1.1.0","Repository"
"callr","3.7.6","Repository"
"car","3.1-5","Repository"
"carData","3.0-6","Repository"
"cellranger","1.1.0","Repository"
"cleaver","1.44.0","Bioconductor"
"cli","3.6.5","Repository"
"clipr","0.8.0","Repository"
"clusterProfiler","4.14.6","Bioconductor"
"codetools","0.2-20","Repository"
"colorspace","2.1-2","Repository"
"conflicted","1.2.0","Repository"
"cowplot","1.2.0","Repository"
"cpp11","0.5.3","Repository"
"crayon","1.5.3","Repository"
"curl","7.0.0","Repository"
"data.table","1.18.2.1","Repository"
"dbplyr","2.5.2","Repository"
"digest","0.6.39","Repository"
"distributional","0.7.0","Repository"
"doBy","4.7.1","Repository"
"dplyr","1.2.0","Repository"
"dtplyr","1.3.3","Repository"
"enrichplot","1.26.6","Bioconductor"
"evaluate","1.0.5","Repository"
"farver","2.1.2","Repository"
"fastmap","1.2.0","Repository"
"fastmatch","1.1-8","Repository"
"fgsea","1.32.4","Bioconductor"
"fontBitstreamVera","0.1.1","Repository"
"fontLiberation","0.1.0","Repository"
"fontawesome","0.5.3","Repository"
"fontquiver","0.2.1","Repository"
"forcats","1.0.1","Repository"
"forecast","9.0.1","Repository"
"formatR","1.14","Repository"
"fracdiff","1.5-3","Repository"
"fs","1.6.6","Repository"
"futile.logger","1.4.9","Repository"
"futile.options","1.0.1","Repository"
"gargle","1.6.1","Repository"
"gdtools","0.5.0","Repository"
"generics","0.1.4","Repository"
"ggdist","3.3.3","Repository"
"ggforce","0.5.0","Repository"
"ggfun","0.2.0","Repository"
"ggiraph","0.9.6","Repository"
"ggnewscale","0.5.2","Repository"
"ggplot2","4.0.2","Repository"
"ggplotify","0.1.3","Repository"
"ggrepel","0.9.8","Repository"
"ggstar","1.0.6","Repository"
"ggtangle","0.1.1","Repository"
"ggtree","3.14.0","Bioconductor"
"glue","1.8.0","Repository"
"googledrive","2.1.2","Repository"
"googlesheets4","1.1.2","Repository"
"gridExtra","2.3","Repository"
"gridGraphics","0.5-1","Repository"
"gson","0.1.0","Repository"
"gtable","0.3.6","Repository"
"haven","2.5.5","Repository"
"highr","0.12","Repository"
"hms","1.1.4","Repository"
"htmltools","0.5.9","Repository"
"htmlwidgets","1.6.4","Repository"
"httr","1.4.8","Repository"
"ids","1.0.1","Repository"
"igraph","2.2.2","Repository"
"isoband","0.3.0","Repository"
"jquerylib","0.1.4","Repository"
"jsonlite","2.0.0","Repository"
"knitr","1.51","Repository"
"labeling","0.4.3","Repository"
"lambda.r","1.2.4","Repository"
"lattice","0.22-6","Repository"
"lazyeval","0.2.2","Repository"
"lifecycle","1.0.5","Repository"
"limma","3.62.2","Bioconductor"
"lme4","2.0-1","Repository"
"lmtest","0.9-40","Repository"
"lubridate","1.9.5","Repository"
"magrittr","2.0.4","Repository"
"matrixStats","1.5.0","Repository"
